Region,"UN
Region
Classification",Country,2006 Education Enrollment Rate,"2006 
GDP 
in $US"
Europe,Southern Europe,Albania,66.10,7010.69
Africa,Northern Africa,Algeria,70.34,11438.08
Africa,Central Africa,Angola,60.05,4445.12
America,South America,Argentina,95.07,15468.73
Asia,Western Asia,Armenia,71.68,5527.64
Oceania,Oceania,Australia,112.92,37421.54
Europe,Western Europe,Austria,88.13,38973.88
Asia,Western Asia,Azerbaijan,71.72,9407.50
Asia,Southern Asia,Bangladesh,51.29,2018.20
Europe,Eastern Europe,Belarus,96.85,10980.51
Europe,Western Europe,Belgium,92.95,37076.28
Africa,Western Africa,Benin,52.99,1565.55
Asia,Southern Asia,Bhutan,43.15,4081.92
America,South America,Bolivia,87.88,4280.15
Europe,Southern Europe,Bosnia-Herzegovina,73.49,7507.58
Africa,Southern Africa,Botswana,70.49,10966.64
America,South America,Brazil,86.10,11708.51
Europe,Eastern Europe,Bulgaria,76.60,13093.49
Africa,Western Africa,Burkina Faso,24.60,1201.08
Africa,Eastern Africa,Burundi,34.54,645.83
Asia,Southestern Asia,Cambodia,60.09,1959.91
Africa,Central Africa,Cameroon,51.36,2372.40
America,Northern America,Canada,93.03,37780.99
Africa,Central Africa,Central African Republic,39.73,797.39
Africa,Central Africa,Chad,37.53,1800.69
America,South America,Chile,86.24,16284.47
Asia,Eastern Asia,China,65.12,5787.80
America,South America,Colombia,77.02,9071.16
Africa,Central Africa,Congo,55.07,4987.03
Africa,Central Africa,Congo Democratic Rep.,50.86,477.68
America,Central America,Costa Rica,77.79,10991.09
Africa,Western Africa,Cote d'Ivoire,40.42,2434.90
Europe,Southern Europe,Croatia,75.90,18559.65
America,Carribbean,Cuba,84.44,16093.60
Asia,Western Asia,Cyprus,78.53,32440.02
Europe,Eastern Europe,Czech Republic,80.87,24921.10
Europe,Northern Europe,Denmark,101.48,41282.11
America,Carribbean,Dominican Republic,77.80,9175.76
America,South America,Ecuador,83.78,8112.18
Africa,Northern Africa,Egypt,71.39,8773.77
America,Central America,El Salvador,79.11,6556.77
Europe,Northern Europe,Estonia,92.73,22558.11
Africa,Eastern Africa,Ethiopia,36.99,740.31
Europe,Northern Europe,Finland,100.28,36917.13
Europe,Western Europe,France,90.92,35172.58
Africa,Central Africa,Gabon,75.43,14720.46
Africa,Western Africa,Gambia,56.46,1328.17
Asia,Western Asia,Georgia,74.67,4944.11
Europe,Western Europe,Germany,95.28,36482.13
Africa,Western Africa,Ghana,50.17,2493.43
Europe,Southern Europe,Greece,92.15,29440.99
America,Central America,Guatemala,59.93,6094.23
Africa,Western Africa,Guinea,40.76,1089.41
Africa,Western Africa,Guinea-Bissau,56.97,1191.79
America,South America,Guyana,75.31,4566.55
America,Carribbean,Haiti,58.45,1443.05
